seed,target_pairs,method,actual_global_pairs,heldout_auc,search_time_auc,gap,dist_to_chance,clean_pair_count,confounded_fraction
0,475,len_gap_rank (symmetric length),475.0,0.6016877339170962,0.6925459222320415,0.0908581883149453,0.10168773391709618,247.0,0.48
0,475,negation_rank (low asymmetry),475.0,0.5598121601581808,0.6797950069435678,0.11998284678538695,0.059812160158180805,205.0,0.5684210526315789
0,500,clean_first_then_low_score,500.0,0.657792,0.6875271111111112,0.029735111111111157,0.15779200000000004,237.0,0.526
0,500,score_rank (low separability),500.0,0.637632,0.6976426666666666,0.06001066666666666,0.13763199999999998,212.0,0.576
0,500,len_gap_rank (symmetric length),500.0,0.6097599999999999,0.6883377777777777,0.07857777777777786,0.10975999999999986,250.0,0.5
0,500,negation_rank (low asymmetry),500.0,0.624992,0.6976960000000001,0.0727040000000001,0.12499199999999999,215.0,0.57
1,300,clean_first_then_low_score,300.0,0.5930666666666666,0.6241481481481481,0.031081481481481488,0.09306666666666663,240.0,0.2
1,300,score_rank (low separability),300.0,0.5694222222222223,0.6527703703703703,0.08334814814814806,0.06942222222222227,144.0,0.52
1,300,len_gap_rank (symmetric length),300.0,0.5822222222222222,0.6226864197530865,0.040464197530864277,0.0822222222222222,176.0,0.41333333333333333
1,300,negation_rank (low asymmetry),300.0,0.7089777777777777,0.5859259259259259,-0.12305185185185186,0.2089777777777777,139.0,0.5366666666666666
1,325,clean_first_then_low_score,326.0,0.625520523497918,0.6260665815640957,0.0005460580661776904,0.12552052349791798,240.0,0.26380368098159507
1,325,score_rank (low separability),326.0,0.7064247471743009,0.6492374361730717,-0.0571873110012292,0.20642474717430093,145.0,0.5552147239263804
1,325,len_gap_rank (symmetric length),326.0,0.5941403926234384,0.6325164606288631,0.0383760680054247,0.09414039262343843,191.0,0.41411042944785276
1,325,negation_rank (low asymmetry),326.0,0.7038221296847115,0.5987805697393174,-0.1050415599453941,0.20382212968471147,151.0,0.5368098159509203
1,350,clean_first_then_low_score,350.0,0.5830320247933883,0.6484543441524386,0.0654223193590503,0.08303202479338834,244.0,0.3028571428571429
1,350,score_rank (low separability),350.0,0.6978305785123967,0.6683104131460871,-0.029520165366309636,0.19783057851239672,153.0,0.5628571428571428
1,350,len_gap_rank (symmetric length),350.0,0.6101497933884298,0.644593846512441,0.03444405312401122,0.11014979338842978,203.0,0.42
1,350,negation_rank (low asymmetry),350.0,0.6807205578512396,0.6093831944525377,-0.07133736339870189,0.18072055785123964,162.0,0.5371428571428571
1,375,clean_first_then_low_score,375.0,0.5912177455862381,0.6607882372310381,0.0695704916448,0.09121774558623807,246.0,0.344
1,375,score_rank (low separability),375.0,0.6310547759167044,0.6640366763338863,0.03298190041718185,0.13105477591670445,170.0,0.5466666666666666
1,375,len_gap_rank (symmetric length),375.0,0.615323675871435,0.6526323121541013,0.03730863628266634,0.115323675871435,221.0,0.4106666666666667
1,375,negation_rank (low asymmetry),375.0,0.6385808057944772,0.6031521890553565,-0.03542861673912068,0.13858080579447718,174.0,0.536
1,400,clean_first_then_low_score,400.0,0.5826000000000001,0.6610944444444445,0.07849444444444442,0.08260000000000012,247.0,0.3825
1,400,score_rank (low separability),400.0,0.5977,0.6594444444444445,0.06174444444444449,0.09770000000000001,182.0,0.545
1,400,len_gap_rank (symmetric length),400.0,0.6669999999999999,0.6662944444444445,-0.0007055555555554038,0.16699999999999993,235.0,0.4125
1,400,negation_rank (low asymmetry),400.0,0.62705,0.59865,-0.02839999999999998,0.12705,194.0,0.515
1,425,clean_first_then_low_score,426.0,0.6155122718141323,0.665692161044015,0.0501798892298827,0.11551227181413226,247.0,0.42018779342723006
1,425,score_rank (low separability),426.0,0.6659970303083238,0.653978439677283,-0.012018590631040826,0.1659970303083238,190.0,0.5539906103286385
1,425,len_gap_rank (symmetric length),426.0,0.6341165167263517,0.6650386690382366,0.030922152311884887,0.13411651672635172,248.0,0.41784037558685444
1,425,negation_rank (low asymmetry),426.0,0.6564765481701458,0.6280058175528935,-0.02847073061725225,0.15647654817014578,206.0,0.5164319248826291
1,450,clean_first_then_low_score,450.0,0.6831388519069621,0.6556938953411583,-0.027444956565803813,0.1831388519069621,242.0,0.4622222222222222
1,450,score_rank (low separability),450.0,0.607800140966403,0.664098477577508,0.05629833661110495,0.107800140966403,200.0,0.5555555555555556
1,450,len_gap_rank (symmetric length),450.0,0.6335656668494009,0.6833510905264641,0.04978542367706329,0.13356566684940085,249.0,0.44666666666666666
1,450,negation_rank (low asymmetry),450.0,0.6605842274257968,0.6389111465276616,-0.021673080898135244,0.1605842274257968,212.0,0.5288888888888889
1,475,clean_first_then_low_score,475.0,0.6598404067509357,0.6757156609014014,0.015875254150465756,0.1598404067509357,244.0,0.4863157894736842
1,475,score_rank (low separability),475.0,0.6149283242708848,0.6705119303118294,0.05558360604094459,0.11492832427088484,206.0,0.5663157894736842
1,475,len_gap_rank (symmetric length),475.0,0.6498128663229998,0.6819727622774903,0.032159895954490425,0.14981286632299984,251.0,0.47157894736842104
1,475,negation_rank (low asymmetry),475.0,0.6531318409716828,0.6510975571266254,-0.0020342838450573275,0.15313184097168275,214.0,0.5494736842105263
1,500,clean_first_then_low_score,500.0,0.6537600000000001,0.6604053333333334,0.006645333333333281,0.15376000000000012,246.0,0.508
1,500,score_rank (low separability),500.0,0.618368,0.68432,0.06595200000000001,0.11836800000000003,217.0,0.566
1,500,len_gap_rank (symmetric length),500.0,0.6369920000000001,0.6892337777777777,0.05224177777777761,0.1369920000000001,252.0,0.496
1,500,negation_rank (low asymmetry),500.0,0.692928,0.6731342222222222,-0.0197937777777778,0.192928,224.0,0.552
2,300,clean_first_then_low_score,300.0,0.6207111111111111,0.5974222222222223,-0.023288888888888803,0.1207111111111111,229.0,0.23666666666666666
2,300,score_rank (low separability),300.0,0.6875555555555555,0.7065876543209877,0.019032098765432215,0.18755555555555548,140.0,0.5333333333333333
2,300,len_gap_rank (symmetric length),300.0,0.5449777777777778,0.5988839506172839,0.05390617283950616,0.04497777777777778,174.0,0.42
2,300,negation_rank (low asymmetry),300.0,0.6717333333333333,0.6047604938271605,-0.06697283950617283,0.1717333333333333,144.0,0.52
2,325,clean_first_then_low_score,326.0,0.6304283164782867,0.6271163665681267,-0.003311949910159928,0.13042831647828668,232.0,0.2883435582822086
2,325,score_rank (low separability),326.0,0.6816627007733493,0.6976199274388606,0.015957226665511248,0.18166270077334934,146.0,0.5521472392638037
2,325,len_gap_rank (symmetric length),326.0,0.6151844140392624,0.603248454716474,-0.011935959322788348,0.11518441403926238,193.0,0.40797546012269936
2,325,negation_rank (low asymmetry),326.0,0.6780933967876264,0.5947829884439666,-0.08331040834365977,0.17809339678762637,152.0,0.5337423312883436
2,350,clean_first_then_low_score,350.0,0.5866477272727272,0.6574500320494143,0.07080230477668714,0.08664772727272718,234.0,0.3314285714285714
2,350,score_rank (low separability),350.0,0.7273372933884297,0.680948079948721,-0.0463892134397087,0.22733729338842967,153.0,0.5628571428571428
2,350,len_gap_rank (symmetric length),350.0,0.6115702479338844,0.6152030767437795,0.003632828809895128,0.11157024793388437,207.0,0.4085714285714286
2,350,negation_rank (low asymmetry),350.0,0.6711647727272727,0.5986539245964687,-0.072510848130804,0.1711647727272727,162.0,0.5371428571428571
2,375,clean_first_then_low_score,375.0,0.5682435491172475,0.6704322387001178,0.1021886895828703,0.0682435491172475,234.0,0.376
2,375,score_rank (low separability),375.0,0.7071638750565866,0.6688301819885766,-0.038333693068010044,0.20716387505658662,165.0,0.56
2,375,len_gap_rank (symmetric length),375.0,0.5648483476686283,0.6227504717518775,0.05790212408324913,0.06484834766862835,229.0,0.3893333333333333
2,375,negation_rank (low asymmetry),375.0,0.6973177908555908,0.598010410202505,-0.09930738065308575,0.19731779085559076,179.0,0.5226666666666666
2,400,clean_first_then_low_score,400.0,0.5805000000000002,0.684,0.10349999999999981,0.08050000000000024,235.0,0.4125
2,400,score_rank (low separability),400.0,0.6839499999999998,0.6574555555555555,-0.026494444444444376,0.18394999999999984,179.0,0.5525
2,400,len_gap_rank (symmetric length),400.0,0.6268,0.6297666666666667,0.002966666666666673,0.12680000000000002,243.0,0.3925
2,400,negation_rank (low asymmetry),400.0,0.70915,0.5785944444444444,-0.13055555555555554,0.20914999999999995,193.0,0.5175
2,425,clean_first_then_low_score,426.0,0.6532884968119487,0.6793467045331709,0.02605820772122225,0.15328849681194867,231.0,0.45774647887323944
2,425,score_rank (low separability),426.0,0.6535942003668442,0.666576586314993,0.012982385948148711,0.15359420036684424,188.0,0.5586854460093896
2,425,len_gap_rank (symmetric length),426.0,0.6238099397327277,0.6451243600200469,0.021314420287319225,0.12380993973272769,247.0,0.42018779342723006
2,425,negation_rank (low asymmetry),426.0,0.7354790811424579,0.59946344866894,-0.1360156324735179,0.23547908114245786,192.0,0.5492957746478874
2,450,clean_first_then_low_score,450.0,0.7031874070013314,0.6587713196382815,-0.044416087363049916,0.20318740700133142,231.0,0.4866666666666667
2,450,score_rank (low separability),450.0,0.6417103923564884,0.6718602787732567,0.0301498864167683,0.1417103923564884,192.0,0.5733333333333334
2,450,len_gap_rank (symmetric length),450.0,0.6018482261727621,0.648839031778038,0.04699080560527591,0.10184822617276212,251.0,0.44222222222222224
2,450,negation_rank (low asymmetry),450.0,0.652752760592059,0.6438376669689791,-0.00891509362307985,0.152752760592059,202.0,0.5511111111111111
2,475,clean_first_then_low_score,475.0,0.6476237553845067,0.6645862264865547,0.01696247110204807,0.14762375538450667,234.0,0.5073684210526316
2,475,score_rank (low separability),475.0,0.622554904314667,0.671549520262593,0.04899461594792598,0.12255490431466698,196.0,0.5873684210526315
2,475,len_gap_rank (symmetric length),475.0,0.6332179930795847,0.6424536043428861,0.009235611263301413,0.1332179930795847,249.0,0.47578947368421054
2,475,negation_rank (low asymmetry),475.0,0.6310994986229786,0.6653831586920843,0.03428366006910566,0.13109949862297865,208.0,0.5621052631578948
2,500,clean_first_then_low_score,500.0,0.6392319999999999,0.669952,0.03072000000000008,0.1392319999999999,236.0,0.528
2,500,score_rank (low separability),500.0,0.6419839999999999,0.6737742222222223,0.031790222222222386,0.1419839999999999,203.0,0.594
2,500,len_gap_rank (symmetric length),500.0,0.641728,0.6542862222222223,0.01255822222222236,0.14172799999999997,251.0,0.498
2,500,negation_rank (low asymmetry),500.0,0.68096,0.6644373333333333,-0.016522666666666685,0.18096,215.0,0.57
3,300,clean_first_then_low_score,300.0,0.6754666666666667,0.6228246913580247,-0.05264197530864201,0.17546666666666666,226.0,0.24666666666666667
3,300,score_rank (low separability),300.0,0.6181333333333333,0.6707358024691357,0.052602469135802354,0.11813333333333331,149.0,0.5033333333333333
3,300,len_gap_rank (symmetric length),300.0,0.6449777777777778,0.6175308641975309,-0.027446913580246868,0.14497777777777776,171.0,0.43
3,300,negation_rank (low asymmetry),300.0,0.7251555555555556,0.596562962962963,-0.1285925925925926,0.22515555555555555,141.0,0.53
3,325,clean_first_then_low_score,326.0,0.614069006543724,0.6509422870196184,0.03687328047589444,0.11406900654372398,233.0,0.2852760736196319
3,325,score_rank (low separability),326.0,0.6189767995240928,0.6805798172534265,0.06160301772933374,0.11897679952409279,157.0,0.5184049079754601
3,325,len_gap_rank (symmetric length),326.0,0.6455234979179061,0.6267468422467078,-0.01877665567119824,0.1455234979179061,188.0,0.4233128834355828
3,325,negation_rank (low asymmetry),326.0,0.7001784651992862,0.6027025665143779,-0.09747589868490825,0.20017846519928617,157.0,0.5184049079754601
3,350,clean_first_then_low_score,350.0,0.5920712809917354,0.664901520890391,0.07283023989865556,0.09207128099173545,234.0,0.3314285714285714
3,350,score_rank (low separability),350.0,0.6608987603305785,0.6797170910786084,0.018818330748029966,0.16089876033057848,160.0,0.5428571428571428
3,350,len_gap_rank (symmetric length),350.0,0.6091813016528926,0.6285108676650545,0.019329566012161847,0.10918130165289264,198.0,0.4342857142857143
3,350,negation_rank (low asymmetry),350.0,0.7541322314049587,0.5899495950119457,-0.164182636393013,0.25413223140495866,169.0,0.5171428571428571
3,375,clean_first_then_low_score,375.0,0.5997057492077863,0.6585972822026064,0.058891532994820084,0.0997057492077863,233.0,0.37866666666666665
3,375,score_rank (low separability),375.0,0.7324581258488003,0.6696597054241968,-0.06279842042460348,0.23245812584880032,171.0,0.544
3,375,len_gap_rank (symmetric length),375.0,0.5873132639203259,0.6322171705018933,0.0449039065815674,0.0873132639203259,222.0,0.408
3,375,negation_rank (low asymmetry),375.0,0.7410593028519692,0.6013158394650524,-0.1397434633869168,0.2410593028519692,179.0,0.5226666666666666
3,400,clean_first_then_low_score,400.0,0.5938000000000001,0.6570999999999999,0.0632999999999998,0.0938000000000001,234.0,0.415
3,400,score_rank (low separability),400.0,0.7294,0.68055,-0.04885000000000006,0.22940000000000005,182.0,0.545
3,400,len_gap_rank (symmetric length),400.0,0.62655,0.642711111111111,0.01616111111111096,0.12655000000000005,235.0,0.4125
3,400,negation_rank (low asymmetry),400.0,0.67315,0.5933611111111111,-0.07978888888888891,0.17315000000000003,194.0,0.515
3,425,clean_first_then_low_score,426.0,0.6033714734911345,0.687444109236348,0.08407263574521351,0.10337147349113451,236.0,0.4460093896713615
3,425,score_rank (low separability),426.0,0.7225958599004281,0.6547596819999804,-0.06783617790044771,0.22259585990042807,192.0,0.5492957746478874
3,425,len_gap_rank (symmetric length),426.0,0.6213206393571492,0.654607364314423,0.033286724957273806,0.12132063935714921,242.0,0.431924882629108
3,425,negation_rank (low asymmetry),426.0,0.6313215127958773,0.6053890979844931,-0.025932414811384197,0.13132151279587734,208.0,0.5117370892018779
3,450,clean_first_then_low_score,450.0,0.7051452737097658,0.6787547658251811,-0.026390507884584635,0.20514527370976576,233.0,0.4822222222222222
3,450,score_rank (low separability),450.0,0.6996632469261492,0.665903547623031,-0.033759699303118285,0.19966324692614923,197.0,0.5622222222222222
3,450,len_gap_rank (symmetric length),450.0,0.6180593625185998,0.6548618020762709,0.03680243955767104,0.11805936251859983,243.0,0.46
3,450,negation_rank (low asymmetry),450.0,0.6617589474508575,0.6423848057128265,-0.01937414173803098,0.1617589474508575,208.0,0.5377777777777778
3,475,clean_first_then_low_score,475.0,0.6926770708283313,0.6741928102512309,-0.018484260577100398,0.1926770708283313,234.0,0.5073684210526316
3,475,score_rank (low separability),475.0,0.7005155003177743,0.6661998169423051,-0.0343156833754692,0.20051550031777432,205.0,0.5684210526315789
3,475,len_gap_rank (symmetric length),475.0,0.6169055857637171,0.6606370723393511,0.04373148657563397,0.11690558576371712,242.0,0.4905263157894737
3,475,negation_rank (low asymmetry),475.0,0.7036932420026835,0.6539223267264234,-0.0497709152762601,0.20369324200268346,209.0,0.56
3,500,clean_first_then_low_score,500.0,0.672448,0.676152888888889,0.0037048888888889797,0.17244800000000005,236.0,0.528
3,500,score_rank (low separability),500.0,0.6531199999999999,0.6854648888888888,0.03234488888888887,0.15311999999999992,213.0,0.574
3,500,len_gap_rank (symmetric length),500.0,0.6345599999999999,0.663320888888889,0.028760888888889058,0.1345599999999999,244.0,0.512
3,500,negation_rank (low asymmetry),500.0,0.67008,0.6739413333333335,0.0038613333333334943,0.17008,222.0,0.556
4,300,clean_first_then_low_score,300.0,0.5719111111111111,0.5910320987654321,0.01912098765432091,0.07191111111111115,240.0,0.2
4,300,score_rank (low separability),300.0,0.6078222222222223,0.6605037037037036,0.05268148148148133,0.10782222222222226,147.0,0.51
4,300,len_gap_rank (symmetric length),300.0,0.6087111111111112,0.6387950617283951,0.03008395061728386,0.1087111111111112,179.0,0.4033333333333333
4,300,negation_rank (low asymmetry),300.0,0.6742222222222221,0.5990518518518518,-0.07517037037037022,0.17422222222222206,128.0,0.5733333333333334
4,325,clean_first_then_low_score,326.0,0.5939916716240333,0.5894920720236496,-0.004499599600383708,0.09399167162403332,240.0,0.26380368098159507
4,325,score_rank (low separability),326.0,0.6223973825104105,0.657803681805966,0.0354062992955555,0.12239738251041055,155.0,0.5245398773006135
4,325,len_gap_rank (symmetric length),326.0,0.612730517549078,0.6551666218758398,0.042436104326761814,0.11273051754907804,190.0,0.4171779141104294
4,325,negation_rank (low asymmetry),326.0,0.7381766805472932,0.6003930395055093,-0.13778364104178398,0.23817668054729324,143.0,0.5613496932515337
4,350,clean_first_then_low_score,350.0,0.6014979338842975,0.6212633296427947,0.01976539575849723,0.10149793388429751,242.0,0.30857142857142855
4,350,score_rank (low separability),350.0,0.596849173553719,0.6573189208088107,0.06046974725509169,0.09684917355371903,167.0,0.5228571428571429
4,350,len_gap_rank (symmetric length),350.0,0.640625,0.6633354699609579,0.022710469960957935,0.140625,204.0,0.41714285714285715
4,350,negation_rank (low asymmetry),350.0,0.7411544421487604,0.6021283724724666,-0.13902606967629372,0.24115444214876036,156.0,0.5542857142857143
4,375,clean_first_then_low_score,375.0,0.6361475780896334,0.6309190613087474,-0.005228516780885983,0.1361475780896334,243.0,0.352
4,375,score_rank (low separability),375.0,0.6643277501131734,0.6636377452159926,-0.0006900048971807404,0.16432775011317335,173.0,0.5386666666666666
4,375,len_gap_rank (symmetric length),375.0,0.6166817564508829,0.6732754144451059,0.056593657994223,0.11668175645088286,221.0,0.4106666666666667
4,375,negation_rank (low asymmetry),375.0,0.7439452240832956,0.6059067134408126,-0.13803851064248296,0.24394522408329555,169.0,0.5493333333333333
4,400,clean_first_then_low_score,400.0,0.6502,0.6390611111111111,-0.01113888888888892,0.1502,247.0,0.3825
4,400,score_rank (low separability),400.0,0.6701,0.6536222222222221,-0.016477777777777924,0.17010000000000003,179.0,0.5525
4,400,len_gap_rank (symmetric length),400.0,0.6522999999999999,0.6711222222222222,0.018822222222222296,0.15229999999999988,236.0,0.41
4,400,negation_rank (low asymmetry),400.0,0.75945,0.6061944444444445,-0.15325555555555548,0.25944999999999996,184.0,0.54
4,425,clean_first_then_low_score,426.0,0.6623285876495764,0.653079273985122,-0.009249313664454362,0.16232858764957636,250.0,0.4131455399061033
4,425,score_rank (low separability),426.0,0.6652982793257054,0.6477923762541642,-0.017505903071541207,0.1652982793257054,191.0,0.5516431924882629
4,425,len_gap_rank (symmetric length),426.0,0.6588348327364835,0.6679081376951878,0.009073304958704287,0.15883483273648347,250.0,0.4131455399061033
4,425,negation_rank (low asymmetry),426.0,0.7509389466328937,0.6006132015212114,-0.15032574511168229,0.25093894663289373,199.0,0.5328638497652582
4,450,clean_first_then_low_score,450.0,0.6663011982144255,0.6695841294719509,0.0032829312575254344,0.16630119821442546,253.0,0.43777777777777777
4,450,score_rank (low separability),450.0,0.6554937739838672,0.6651639091653532,0.009670135181485962,0.1554937739838672,199.0,0.5577777777777778
4,450,len_gap_rank (symmetric length),450.0,0.6697470436212702,0.6718954996521938,0.002148456030923507,0.16974704362127024,253.0,0.43777777777777777
4,450,negation_rank (low asymmetry),450.0,0.6879943613438798,0.6267335276351822,-0.061260833708697615,0.1879943613438798,213.0,0.5266666666666666
4,475,clean_first_then_low_score,475.0,0.6869571357954947,0.6622033202878425,-0.02475381550765221,0.18695713579549467,242.0,0.4905263157894737
4,475,score_rank (low separability),475.0,0.6772120612951064,0.665718501451837,-0.011493559843269385,0.17721206129510636,208.0,0.5621052631578948
4,475,len_gap_rank (symmetric length),475.0,0.6876633006143633,0.6796214177502841,-0.008041882864079253,0.18766330061436332,253.0,0.4673684210526316
4,475,negation_rank (low asymmetry),475.0,0.7129793093708072,0.6507819404115641,-0.062197368959243104,0.21297930937080722,210.0,0.5578947368421052
4,500,clean_first_then_low_score,500.0,0.668736,0.6582186666666667,-0.010517333333333267,0.168736,244.0,0.512
4,500,score_rank (low separability),500.0,0.6639359999999999,0.6765048888888889,0.012568888888889074,0.16393599999999986,216.0,0.568
4,500,len_gap_rank (symmetric length),500.0,0.6930559999999999,0.678247111111111,-0.014808888888888871,0.1930559999999999,253.0,0.494
4,500,negation_rank (low asymmetry),500.0,0.5989439999999999,0.6580515555555555,0.05910755555555558,0.09894399999999992,222.0,0.556
5,300,clean_first_then_low_score,300.0,0.6424888888888888,0.6242666666666666,-0.01822222222222214,0.14248888888888878,228.0,0.24
5,300,score_rank (low separability),300.0,0.5903999999999999,0.6658962962962963,0.0754962962962964,0.09039999999999992,145.0,0.5166666666666667
5,300,len_gap_rank (symmetric length),300.0,0.6055111111111111,0.6545876543209876,0.04907654320987653,0.10551111111111111,186.0,0.38
5,300,negation_rank (low asymmetry),300.0,0.6110222222222222,0.5882271604938272,-0.022795061728395072,0.11102222222222224,141.0,0.53
5,325,clean_first_then_low_score,326.0,0.6157049375371803,0.6328187987100242,0.01711386117284397,0.11570493753718025,236.0,0.27607361963190186
5,325,score_rank (low separability),326.0,0.6860499702558002,0.6634473259876378,-0.022602644268162386,0.18604997025580017,141.0,0.5674846625766872
5,325,len_gap_rank (symmetric length),326.0,0.5747323022010709,0.66379165546896,0.08905935326788916,0.07473230220107085,206.0,0.36809815950920244
5,325,negation_rank (low asymmetry),326.0,0.5767400356930399,0.5869893845740393,0.010249348880999376,0.07674003569303989,155.0,0.5245398773006135
5,350,clean_first_then_low_score,350.0,0.5785123966942148,0.6470412563370432,0.0685288596428284,0.07851239669421484,237.0,0.32285714285714284
5,350,score_rank (low separability),350.0,0.6836260330578512,0.6841457374278889,0.0005197043700376769,0.1836260330578512,154.0,0.56
5,350,len_gap_rank (symmetric length),350.0,0.5745738636363638,0.6764393100635161,0.10186544642715234,0.07457386363636376,220.0,0.37142857142857144
5,350,negation_rank (low asymmetry),350.0,0.6137654958677685,0.5958933045859799,-0.01787219128178863,0.11376549586776852,164.0,0.5314285714285715
5,375,clean_first_then_low_score,375.0,0.5807492077863287,0.6403351021390307,0.05958589435270201,0.08074920778632866,240.0,0.36
5,375,score_rank (low separability),375.0,0.7244228157537347,0.6800635756892643,-0.04435924006447034,0.22442281575373468,161.0,0.5706666666666667
5,375,len_gap_rank (symmetric length),375.0,0.5946129470348575,0.6689884879877408,0.07437554095288335,0.09461294703485745,233.0,0.37866666666666665
5,375,negation_rank (low asymmetry),375.0,0.631167949298325,0.5961613961322678,-0.035006553166057164,0.13116794929832498,173.0,0.5386666666666666
5,400,clean_first_then_low_score,400.0,0.56415,0.6622111111111111,0.09806111111111104,0.06415000000000004,242.0,0.395
5,400,score_rank (low separability),400.0,0.65155,0.67795,0.02640000000000009,0.15154999999999996,175.0,0.5625
5,400,len_gap_rank (symmetric length),400.0,0.6018500000000001,0.6780833333333333,0.07623333333333315,0.10185000000000011,242.0,0.395
5,400,negation_rank (low asymmetry),400.0,0.5895000000000001,0.5910833333333334,0.00158333333333327,0.08950000000000014,182.0,0.545
5,425,clean_first_then_low_score,426.0,0.679622674469386,0.6581991136093396,-0.021423560860046376,0.17962267446938596,234.0,0.4507042253521127
5,425,score_rank (low separability),426.0,0.612848283692899,0.6896846532561591,0.07683636956326012,0.11284828369289901,183.0,0.5704225352112676
5,425,len_gap_rank (symmetric length),426.0,0.6130666433749673,0.6842257839447333,0.07115914056976602,0.1130666433749673,247.0,0.42018779342723006
5,425,negation_rank (low asymmetry),426.0,0.6133723469298629,0.6101207731842258,-0.003251573745637115,0.11337234692986287,202.0,0.5258215962441315
5,450,clean_first_then_low_score,450.0,0.6801628945101418,0.6697118051580977,-0.010451089352044085,0.18016289451014178,232.0,0.48444444444444446
5,450,score_rank (low separability),450.0,0.5733808442321248,0.671798642235117,0.09841779800299222,0.07338084423212476,195.0,0.5666666666666667
5,450,len_gap_rank (symmetric length),450.0,0.6306288667867491,0.676980514048728,0.046351647261978934,0.13062886678674912,249.0,0.44666666666666666
5,450,negation_rank (low asymmetry),450.0,0.6778134544600204,0.6343852635842527,-0.04342819087576766,0.1778134544600204,196.0,0.5644444444444444
